epoch 0:	pdl:3.77e+00 	 Rec:3.77e+00 	 Color:7.44e-01 	Time: 0.01
epoch 2650:	pdl:1.60e+00 	 Rec:3.58e-03 	 Color:1.54e-01 	Time: 0.34
epoch 2700:	pdl:1.53e+00 	 Rec:2.04e-03 	 Color:1.41e-01 	Time: 0.34
epoch 2750:	pdl:1.52e+00 	 Rec:1.50e-03 	 Color:1.58e-01 	Time: 0.34
epoch 2800:	pdl:1.34e+00 	 Rec:1.30e-03 	 Color:1.59e-01 	Time: 0.34
epoch 2850:	pdl:1.58e+00 	 Rec:4.49e-03 	 Color:1.53e-01 	Time: 0.34
epoch 2900:	pdl:1.40e+00 	 Rec:3.65e-03 	 Color:1.52e-01 	Time: 0.34
epoch 2950:	pdl:1.74e+00 	 Rec:1.65e-03 	 Color:1.78e-01 	Time: 0.33
epoch 3000:	pdl:1.80e+00 	 Rec:2.49e-03 	 Color:1.61e-01 	Time: 0.33
epoch 3050:	pdl:1.69e+00 	 Rec:2.62e-03 	 Color:1.65e-01 	Time: 0.35
epoch 3100:	pdl:1.73e+00 	 Rec:2.65e-03 	 Color:1.52e-01 	Time: 0.34
epoch 3150:	pdl:1.81e+00 	 Rec:3.14e-03 	 Color:1.56e-01 	Time: 0.33
epoch 3200:	pdl:1.64e+00 	 Rec:2.53e-03 	 Color:1.39e-01 	Time: 0.33
epoch 3250:	pdl:1.79e+00 	 Rec:7.19e-03 	 Color:1.41e-01 	Time: 0.33
epoch 3300:	pdl:1.66e+00 	 Rec:1.97e-03 	 Color:1.34e-01 	Time: 0.33
epoch 3350:	pdl:1.84e+00 	 Rec:4.63e-03 	 Color:1.66e-01 	Time: 0.34
epoch 3400:	pdl:1.65e+00 	 Rec:2.45e-03 	 Color:1.35e-01 	Time: 0.33
epoch 3450:	pdl:1.67e+00 	 Rec:3.33e-03 	 Color:1.55e-01 	Time: 0.33
epoch 3500:	pdl:1.70e+00 	 Rec:1.60e-03 	 Color:1.80e-01 	Time: 0.33
epoch 3550:	pdl:1.47e+00 	 Rec:2.70e-03 	 Color:1.39e-01 	Time: 0.33
epoch 3600:	pdl:1.87e+00 	 Rec:2.43e-03 	 Color:1.26e-01 	Time: 0.33
epoch 3650:	pdl:1.89e+00 	 Rec:1.98e-03 	 Color:1.46e-01 	Time: 0.34
epoch 3700:	pdl:1.89e+00 	 Rec:1.83e-03 	 Color:1.43e-01 	Time: 0.35
epoch 3750:	pdl:1.54e+00 	 Rec:2.31e-03 	 Color:1.49e-01 	Time: 0.35
epoch 3800:	pdl:1.55e+00 	 Rec:2.45e-03 	 Color:1.37e-01 	Time: 0.34
epoch 3850:	pdl:1.78e+00 	 Rec:1.99e-03 	 Color:1.74e-01 	Time: 0.34
epoch 3900:	pdl:1.98e+00 	 Rec:1.50e-03 	 Color:1.50e-01 	Time: 0.35
